species_code,com_name,class_name
gresht1,Great Shrike-Tyrant,aves
gybsht1,Gray-bellied Shrike-Tyrant,aves
bkbsht1,Black-billed Shrike-Tyrant,aves
lessht1,Lesser Shrike-Tyrant,aves
chcsta1,Chestnut-cheeked Starling,aves
dausta1,Daurian Starling,aves
whecat1,White-eared Catbird,aves
grecat1,Green Catbird,aves
taccat1,Tan-capped Catbird,aves
spocat2,Spotted Catbird,aves
spocat1,Black-eared Catbird,aves
ocbcat1,Ochre-breasted Catbird,aves
41659,Giant Panda,mammalia
oaxspa1,Oaxaca Sparrow,aves
russpa1,Rusty Sparrow,aves
rucspa,Rufous-crowned Sparrow,aves
manduc,Mandarin Duck,aves
wooduc,Wood Duck,aves
greaki2,Oahu Akialoa,aves
greaki3,Maui-nui Akialoa,aves
lesaki,Lesser Akialoa,aves
greaki4,Kauai Akialoa,aves
goeant1,Goeldi's Antbird,aves
whsant1,White-shouldered Antbird,aves
grhlar1,Greater Hoopoe-Lark,aves
lehlar1,Lesser Hoopoe-Lark,aves
skylar,Eurasian Skylark,aves
orisky1,Oriental Skylark,aves
whwlar1,White-winged Lark,aves
razsky1,Raso Skylark,aves
lstlar2,Asian Short-toed Lark,aves
tstlar1,Turkestan Short-toed Lark,aves
sanlar1,Sand Lark,aves
mstlar1,Mediterranean Short-toed Lark,aves
sstlar1,Somali Short-toed Lark,aves
razorb,Razorbill,aves
comkin1,Common Kingfisher,aves
smbkin1,Small Blue Kingfisher,aves
bubkin2,Javan Blue-banded Kingfisher,aves
blykin1,Blyth's Kingfisher,aves
blekin1,Blue-eared Kingfisher,aves
bubkin1,Malaysian Blue-banded Kingfisher,aves
shbkin1,Shining-blue Kingfisher,aves
hackin1,Half-collared Kingfisher,aves
42418,Hartebeest,mammalia
522193,Moose,mammalia
broful1,Brown Fulvetta,aves
gycful3,David's Fulvetta,aves
gycful4,Yunnan Fulvetta,aves
bkbful1,Black-browed Fulvetta,aves
gycful5,Huet's Fulvetta,aves
gycful1,Morrison's Fulvetta,aves
nepful1,Nepal Fulvetta,aves
mouful1,Mountain Fulvetta,aves
brcful1,Brown-cheeked Fulvetta,aves
javful1,Javan Fulvetta,aves
strbul2,Striated Bulbul,aves
runwhi1,Rufous-naped Bellbird,aves
barpar2,Barbary Partridge,aves
chukar,Chukar,aves
rocpar2,Rock Partridge,aves
przpar1,Przevalski's Partridge,aves
arapar1,Arabian Partridge,aves
phipar1,Philby's Partridge,aves
relpar1,Red-legged Partridge,aves
mabpig1,Madagascar Blue-Pigeon,aves
mabpig2,Mauritius Blue-Pigeon,aves
sebpig1,Seychelles Blue-Pigeon,aves
cobpig1,Comoro Blue-Pigeon,aves
stttyr1,Strange-tailed Tyrant,aves
cottyr1,Cock-tailed Tyrant,aves
ausbrt1,Australian Brushturkey,aves
338899,Floury Baker,insecta
ficale2,Fire-crested Alethe,aves
ficale3,White-tailed Alethe,aves
yefpar5,Yellow-faced Parrot,aves
mokpar1,Moluccan King-Parrot,aves
pakpar1,Papuan King-Parrot,aves
aukpar1,Australian King-Parrot,aves
doveki,Dovekie,aves
scbthr,Scaly-breasted Thrasher,aves
43464,Allen's Swamp Monkey,mammalia
26159,American Alligator,reptilia
21211,Spotted-thighed Poison Frog,amphibia
64873,Striped Rocket Frog,amphibia
129244,Allard's Ground Cricket,insecta
143387,Striped Ground Cricket,insecta
205857,Gray Ground Cricket,insecta
1424274,Choctaw ground cricket,insecta
485770,Southern Ground Cricket,insecta
1270650,Salt-Marsh Ground Cricket,insecta
213029,Tinkling Ground Cricket,insecta
501403,Walker's Ground Cricket,insecta
gycbul3,Brown-cheeked Bulbul,aves
whtbul1,White-throated Bulbul,aves
gytbul1,Gray-throated Bulbul,aves
ochbul2,Ochraceous Bulbul,aves
putbul1,Puff-throated Bulbul,aves
yebbul2,Yellow-bellied Bulbul,aves
ochbul3,Penan Bulbul,aves
gycbul2,Gray-cheeked Bulbul,aves
tahswa2,Tawny-headed Swallow,aves
egygoo,Egyptian Goose,aves
reushe1,Reunion Shelduck,aves
maushe1,Mauritius Shelduck,aves
74051,Ursine Howler Monkey,mammalia
43441,Red-handed Howler Monkey,mammalia
43435,Black-and-gold Howler Monkey,mammalia
74052,Spix's Red-handed Howler Monkey,mammalia
74053,Brown Howler Monkey,mammalia
74055,Guianan Red Howler Monkey,mammalia
43436,Mantled Howler Monkey,mammalia
43439,Yucatán Black Howler Monkey,mammalia
43438,Bolivian Red Howler Monkey,mammalia
