idx,sci_name,com_name,species_code,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et,common_name_it,common_name_zh-TW,common_name_eo,common_name_hu,common_name_ro,common_name_sl,common_name_lv,common_name_is,common_name_id,common_name_el,common_name_mk,common_name_be,common_name_af,common_name_se,common_name_ko,common_name_he,common_name_ar,common_name_th,common_name_ml
4563,Falco subbuteo,Eurasian Hobby,eurhob,aves,Baumfalke,Alcotán Europeo,kobuz,Faucon hobereau,Boomvalk,Чеглок,チゴハヤブサ,ostříž lesní,falcó mostatxut europeu,falcão-taperuçu,lerkefalk,Сокол орко,lärkfalk,Lærkefalk,Delice Doğan,sokol lastovičiar,Lastavičar,Підсоколик великий,燕隼,nuolihaukka,Alcotán europeo,Alcotán Europeo,Alcotán Europeo,Ógea,sokol lastavičar,Sketsakalis,لیل اوراسیایی,Hebog yr Ehedydd,lõopistrik,Lodolaio,燕隼,alaŭdfalko,kabasólyom,Şoimul rândunelelor,škrjančar,bezdelīgu piekūns,Gunnfálki,Alap-alap walet,Δεντρογέρακο,сокол ластовичар,Сокал-кабец,Europese Boomvalk,Leahttofálli,새홀리기,בז עצים,شويهين,เหยี่ยวฮอบบี้ยุโรป,വരയൻ പുള്ള്‌
4564,Falco subniger,Black Falcon,blafal1,aves,Rußfalke,Halcón Negro,sokół czarny,Faucon noir,Zwarte valk,Чёрный сокол,クロハヤブサ,raroh černý,falcó negre,falcão-preto,svartfalk,Черен сокол,svartfalk,Sortfalk,Kara Doğan,sokol tmavý,Crni soko,Сокіл чорний,黑隼,mustajalohaukka,Halcón negro,Halcón Negro,Halcón Negro,Black falcon,crni sokol,Juodasis sakalas,شاهین سیاه,Hebog du,mustpistrik,Falco nero,黑隼,nigra falko,fekete sólyom,,,,,,,,,,,,,,,
4565,Falco tinnunculus,Eurasian Kestrel,eurkes,aves,Turmfalke,Cernícalo Vulgar,pustułka,Faucon crécerelle,Torenvalk,Пустельга,チョウゲンボウ,poštolka obecná,xoriguer comú,peneireiro-de-dorso-malhado,tårnfalk,Черношипа ветрушка,tornfalk,Tårnfalk,Kerkenez,sokol myšiar (pustovka),Vetruška,Боривітер звичайний,红隼,tuulihaukka,Cernícalo vulgar,Cernícalo Vulgar,Cernícalo Vulgar,Peneireiro-de-dorso-malhado,vjetruša,Paprastasis pelėsakalis,دلیجه معمولی,Cudyll Coch,tuuletallaja,Gheppio,紅隼,tura falko,vörös vércse,Vânturel roşu,postovka,lauku piekūns,Turnfálki,Alap-alap erasia,Βραχοκιρκίνεζο,ветрушка,Сокал-пустальга,Rooivalk,Bieggafálli,황조롱이,בז מצוי,عوسق,เหยี่ยวเคสเตรล,വിറയൻപുള്ള്
4566,Falco vespertinus,Red-footed Falcon,reffal1,aves,Rotfußfalke,Cernícalo Patirrojo,kobczyk,Faucon kobez,Roodpootvalk,Кобчик,ニシアカアシチョウゲンボウ,poštolka rudonohá,falcó cama-roig,falcão-vespertino,aftenfalk,Червенонога ветрушка,aftonfalk,Aftenfalk,Aladoğan,sokol kobcovitý,Siva vetruška,Кібчик червононогий,欧洲红脚隼,punajalkahaukka,Cernícalo patirrojo,Cernícalo Patirrojo,Cernícalo Patirrojo,Falcão-vespertino,crvenonoga vjetruša,Raudonkojis sakalas,شاهین پاسرخ,Cudyll troedgoch,punajalg-pistrik,Falco cuculo,紅足隼,ruĝpieda falko,kék vércse,Vânturel de seară,rdečenoga postovka,kukaiņu piekūns,Kvöldfálki,,Μαυροκιρκίνεζο,сина ветрушка,Сокал-шуленак,Westelike Rooipootvalk,Veaigefálli,,בז ערב,لزيق,,
4567,Falco zoniventris,Banded Kestrel,bankes1,aves,Bindenfalke,Cernícalo Malgache,pustułka prążkowana,Faucon à ventre rayé,Gebandeerde torenvalk,Полосатая пустельга,ヨコジマチョウゲンボウ,poštolka proužkovaná,xoriguer ratllat,peneireiro-listado,gråstripefalk,Ястребова ветрушка,bandad falk,Gråstribet Tårnfalk,Çizgili Kerkenez,sokol madagaskarský,Prugasta vetruška,Боривітер смугастогрудий,马岛斑隼,raitatuulihaukka,Cernícalo malgache,Cernícalo Malgache,Cernícalo Malgache,Banded kestrel,mrka vjetruša,Dryžasis pelėsakalis,Banded Kestrel,Cudyll rhesog,vöötkõht-tuuletallaja,Gheppio fasciato,馬達加斯加斑隼,striventra falko,karvalyvércse,,,,,,,,,,,,,,,
4568,Falculea palliata,Sickle-billed Vanga,sibvan1,aves,Sichelschnabelvanga,Vanga Piquicurvo,wanga sierpodzioba,Falculie mantelée,Sikkelvanga,Серпоклювая ванга,ハシナガオオハシモズ,vanga srpozobá,vanga simitarra,vanga-de-bico-curvo,sigdnebbvanga,Сърпоклюна ванга,sabelvanga,Seglnæbsvanga,Kıvrık Gagalı Vanga,vanga srpozobá,Srpokljuna vanga,Ванга серподзьоба,弯嘴鵙,sirppivanga,Vanga piquicurvo,Vanga Piquicurvo,Vanga Piquicurvo,Sickle-billed vanga,krivokljuna vanga,riestasnapė vanga,وانگای داسمنقار,Fanga crymanbig,Sickle-billed Vanga,Vanga falcibecca,鷹嘴鵙,faĉilbeka vangao,sarlós vanga,,,,,,,,,,,,,,,
4569,Falcunculus frontatus,Eastern Shrike-tit,cresht1,aves,Grauschwanz-Meisendickkopf,Silbador Cabezón Oriental,czubiec żółtobrzuchy,Falconelle à casque,Oostelijke harlekijndikkop,Синичья толстоголовка,ハシブトモズヒタキ,pištec sokolí,xiuladora arlequinada oriental,picanço-chapim-oriental,østbarkplystrer,Източен сврачков синигер,östlig falknäbb,Toppet Tornskademejse,Doğulu Kerpetenkuşu,pruhohlávok lesný,Istočna svračkolika senica,Чубарець лісовий,东鵙雀鹟,töyhtöviheltäjä,Silbador cabezón oriental,Silbador Cabezón Oriental,Silbador Cabezón Oriental,Eastern shrike-tit,kudrava zviždavka,Kuoduotasis švilpikas,چرخریسک-سنگچشم شرقی,Aderyn rhisgl,Eastern Shrike-tit,Cinciaverla crestata,冠鵙雀,eosta falkunkulo,búbos gébicscinege,,,,,,,,,,,,,,,
4570,Falcunculus leucogaster,Western Shrike-tit,cresht2,aves,Weißbauch-Meisendickkopf,Silbador Cabezón Occidental,czubiec białobrzuchy,Falconelle à ventre blanc,Westelijke harlekijndikkop,Western Shrike-tit,ニシハシブトモズヒタキ,Western Shrike-tit,xiuladora arlequinada occidental,picanço-chapim-ocidental,hvitbukbarkplystrer,Западен сврачков синигер,västlig falknäbb,Hvidbuget Tornskademejse,Batılı Kerpetenkuşu,pruhohlávok bielobruchý,Zapadna svračkolika senica,Чубарець білочеревий,西鵙雀鹟,lännentöyhtöviheltäjä,Silbador cabezón occidental,Silbador Cabezón Occidental,Silbador Cabezón Occidental,Western shrike-tit,žutoprsa zviždavka,Western Shrike-tit,چرخریسک-سنگچشم غربی,Western Shrike-tit,Western Shrike-tit,,,uesta falkunkulo,,,,,,,,,,,,,,,,
4571,Falcunculus whitei,Northern Shrike-tit,cresht3,aves,Gelbflügel-Meisendickkopf,Silbador Cabezón Norteño,czubiec mały,Falconelle de White,Noordelijke harlekijndikkop,Northern Shrike-tit,キタハシブトモズヒタキ,Northern Shrike-tit,xiuladora arlequinada septentrional,picanço-chapim-nortenho,hvitpannebarkplystrer,Северен сврачков синигер,nordlig falknäbb,Gulrygget Tornskademejse,Kuzeyli Kerpetenkuşu,pruhohlávok bledý,Severna svračkolika senica,Чубарець малий,北鵙雀鹟,pikkutöyhtöviheltäjä,Silbador cabezón norteño,Silbador Cabezón Norteño,Silbador Cabezón Norteño,Northern shrike-tit,žuta zviždavka,Northern Shrike-tit,چرخریسک-سنگچشم شمالی,Northern Shrike-tit,Northern Shrike-tit,,,norda falkunkulo,,,,,,,,,,,,,,,,
4572,Falsistrellus tasmaniensis,Eastern False Pipistrelle,74341,mammalia,Eastern False Pipistrelle,Eastern False Pipistrelle,Nibykarlik tasmański,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,タスマニアアブラコウモリ,netopýr tasmánský,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,Pipistrellus tasmaniensis,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,australianpiippa,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,Eastern False Pipistrelle,,,,,,,,,,,,,,,,,,,
4573,Fejervarya cancrivora,Crab-eating Frog,134935,amphibia,Java-Krabbenfrosch,Rana Cangrejera de Sonda,Crab-eating Frog,Crab-eating Frog,Fejervarya raja,Крабоядная лягушка,カニクイガエル,skokan krabožravý,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,食蟹陆蛙,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,Crab-eating Frog,,,,,,,,,,,,,,,,,,,
4574,Fejervarya kawamurai,Rice field frog,134709,amphibia,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,ヌマガエル,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,памучна жаба,Rice field frog,川村陆蛙,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,Rice field frog,,,,,,,,,,,,,,,,,,,
