idx,sci_name,com_name,species_code,class_name,common_name_de,common_name_es,common_name_pl,common_name_fr,common_name_nl,common_name_ru,common_name_ja,common_name_cs,common_name_ca,common_name_pt,common_name_no,common_name_bg,common_name_sv,common_name_da,common_name_tr,common_name_sk,common_name_sr,common_name_uk,common_name_zh-CN,common_name_fi,common_name_es_ES,common_name_es_MX,common_name_es_EC,common_name_pt_PT,common_name_hr,common_name_lt,common_name_fa,common_name_cy,common_name_et,common_name_it,common_name_zh-TW,common_name_eo,common_name_hu,common_name_ro,common_name_sl,common_name_lv,common_name_is,common_name_id,common_name_el,common_name_mk,common_name_be,common_name_af,common_name_se,common_name_ko,common_name_he,common_name_ar,common_name_th,common_name_ml
11578,Sporophila minuta,Ruddy-breasted Seedeater,rubsee1,aves,Zwergspelzer,Semillero Pechirrufo,ziarnojadek rudobrzuchy,Sporophile petit-louis,Dwergdikbekje,Малый просяночник,アカハラヒメウソ,kněžík rezavoprsý,menjagrà pit-roig,caboclinho-lindo,brunbrystfrøeter,Ръждивокорема тъпоклюна танагра,dvärgfrötangara,Dværgklerkefinke,Kızıl Tohumcul,kňažík hrdzavý,Patuljasta popić zeba,Зерноїд малий,棕胸食籽雀,punasirkkunen,Semillero pechirrufo,Semillero Pecho Canela,Espiguero Pechirrojizo,Caboclinho-lindo,riđotrbi sjemenar,mažoji kikilinė starta,دانهخوار سینهگلی,Hadysor bronwinau,Ruddy-breasted Seedeater,Beccasemi panciarossiccia,棕胸食籽雀,rufbrusta semtangaro,,,,,,,,,,,,,,,,
11579,Sporophila morelleti,Morelet's Seedeater,whcsee1,aves,Schwarzbrustspelzer,Semillero Cuelliblanco,ziarnojadek czarnowstęgi,Sporophile de Morelet,Withalsdikbekje,Воротничковый просяночник,シロエリヒメウソ,Morelet's Seedeater,menjagrà collblanc,sementeiro-de-colar-branco,hvitkragefrøeter,Беловрата тъпоклюна танагра,vithalsad frötangara,Caribisk Klerkefinke,Morelet Tohumculu,kňažík bledobruchý,Moreleova popić zeba,Зерноїд білошиїй,莫莱食籽雀,Morelet's Seedeater,Semillero cuelliblanco,Semillero de Collar,Semillero Cuelliblanco,Morelet's seedeater,ogrličasti sjemenar,Morelet's Seedeater,Morelet's Seedeater,Morelet's Seedeater,Morelet's Seedeater,,,blankpuga semtangaro,,,,,,,,,,,,,,,,
11580,Sporophila nigricollis,Yellow-bellied Seedeater,yebsee1,aves,Gelbbauchspelzer,Semillero Ventriamarillo,ziarnojadek czarnolicy,Sporophile à ventre jaune,Geelbuikdikbekje,Желтобрюхий просяночник,キバラヒメウソ,kněžík černohrdlý,menjagrà ventregroc,baiano,gulbukfrøeter,Черноврата тъпоклюна танагра,gulbukig frötangara,Gulbuget Klerkefinke,Sarı Karınlı Tohumcul,kňažík žltobruchý,Crnokapa popić zeba,Зерноїд чорнощокий,黄腹食籽雀,huppusirkkunen,Semillero ventriamarillo,Semillero Ventriamarillo,Espiguero Ventriamarillo (Ventriamarillento),Baiano,livadni sjemenar,geltonpilvė kikilinė starta,دانهخوار شکمزرد,Hadysor torfelyn,Yellow-bellied Seedeater,Beccasemi panciagialla,黃腹食籽雀,flavaventra semtangaro,,,,,,,,,,,,,,,,
11581,Sporophila nigrorufa,Black-and-tawny Seedeater,batsee2,aves,Schwarzmantelspelzer,Semillero Rojinegro,ziarnojadek czarnogrzbiety,Sporophile noir et roux,Zwart-rood dikbekje,Чёрно-рыжий просяночник,クロアカヒメウソ,kněžík bolivijský,menjagrà negre-i-roig,caboclinho-do-sertão,svartryggfrøeter,Ръждиволика тъпоклюна танагра,cerradofrötangara,Sortstrubet Klerkefinke,Serrado Tohumculu,kňažík pláštikový,Crno-riđa popić zeba,Зерноїд чорноспинний,黑黄食籽雀,matogrossonsirkkunen,Semillero rojinegro,Semillero Rojinegro,Semillero Rojinegro,Caboclinho-do-sertão,riđi sjemenar,tamsioji kikilinė starta,دانهخوار سیاهبرنزه,Hadysor du a gwinau,Black-and-tawny Seedeater,Beccasemi nerofulvo,黃腹黑食籽雀,nigrarufa semtangaro,,,,,,,,,,,,,,,,
11582,Sporophila nuttingi,Nicaraguan Seed-Finch,nisfin1,aves,Rosenschnabelspelzer,Semillero Nicaragüense,ryżołusk czarny,Sporophile de Nutting,Nicaraguaanse zaadkraker,Никарагуанский просяночник,ニカラグアオオコメワリ,louskač nikaragujský,menjagrà de Nicaragua,sementeiro-nicaraguense,rosennebbfrøspurv,Никарагуанска тъпоклюна танагра,nicaraguafrötangara,Nicaraguafrøfinke,Nikaragua Koca Tohumculu,kňažík prieložný,Nikaragvanska popić zeba,Рисоїд нікарагуанський,尼加拉瓜籽雀,jymynokkasirkkunen,Semillero nicaragüense,Semillero Nicaragüense,Semillero Nicaragüense,Nicaraguan seed-finch,nikaragvanski sjemenar,juodoji ryžinė starta,Nicaraguan Seed-Finch,Nicaraguan Seed-Finch,Nicaraguan Seed-Finch,Beccasemi del Nicaragua,尼加拉瓜食籽雀,nikaragva semtangaro,,,,,,,,,,,,,,,,
11583,Sporophila palustris,Marsh Seedeater,marsee1,aves,Sumpfspelzer,Semillero Palustre,ziarnojadek bagienny,Sporophile des marais,Moerasdikbekje,Болотный просяночник,ヌマヒメウソ,kněžík bažinný,menjagrà d'aiguamoll,caboclinho-de-papo-branco,sumpfrøeter,Блатна тъпоклюна танагра,kärrfrötangara,Sumpklerkefinke,Bataklık Tohumculu,kňažík bahenný,Močvarska popić zeba,Зерноїд болотяний,沼泽食籽雀,suosirkkunen,Semillero palustre,Semillero Palustre,Capuchino Pecho Blanco,Caboclinho-de-papo-branco,močvarni sjemenar,Pelkinis sėklalesis,دانهخوار مرداب,Hadysor y gors,Marsh Seedeater,Beccasemi di palude,沼澤食籽雀,marĉa semtangaro,mocsári magsármány,,,,,,,,,,,,,,,
11584,Sporophila peruviana,Parrot-billed Seedeater,pabsee1,aves,Papageischnabelspelzer,Semillero Peruano,ziarnojadek papugodzioby,Sporophile perroquet,Papegaaidikbekje,Попугаевый просяночник,インコヒメウソ,kněžík papouščí,menjagrà bec de cotorra,sementeiro-bico-de-papagaio,papegøyefrøeter,Перуанска тъпоклюна танагра,papegojfrötangara,Papegøjenæbs Klerkefinke,Papağan Gagalı Tohumcul,kňažík papagájčí,Papagajska popić zeba,Зерноїд папугодзьобий,鹦嘴食籽雀,papukaijasirkkunen,Semillero peruano,Semillero Peruano,Espiguero Pico de Loro,Parrot-billed seedeater,papigokljuni sjemenar,papūgasnapė kikilinė starta,دانهخوار طوطیمنقار,Hadysor pigbraff,Parrot-billed Seedeater,Beccasemi pappagallo,鸚嘴食籽雀,papagbeka semtangaro,,,,,,,,,,,,,,,,
11585,Sporophila pileata,Pearly-bellied Seedeater,pebsee1,aves,Weißwangenspelzer,Semillero Capirotado,ziarnojadek melodyjny,Sporophile à ceinture perle,Bleek dikbekje,Жемчужный просяночник,ウナジロヒメウソ,Pearly-bellied Seedeater,menjagrà de capell,caboclinho-coroado,kremfrøeter,Бразилска тъпоклюна танагра,gräddbukig frötangara,Perlebuget Klerkefinke,Sedef Karınlı Tohumcul,kňažík savanový,Biserasta popić zeba,Зерноїд савановий,珠腹食籽雀,helmisirkkunen,Semillero capirotado,Semillero Capirotado,Capuchino Boina Negra,Caboclinho-coroado,bjelolici sjemenar,Pearly-bellied Seedeater,دانهخوار شکممروارید,Pearly-bellied Seedeater,Pearly-bellied Seedeater,,珠腹食籽雀,perloventra semtangaro,,,,,,,,,,,,,,,,
11586,Sporophila plumbea,Plumbeous Seedeater,plusee1,aves,Grauspelzer,Semillero Plomizo,ziarnojadek siwy,Sporophile gris-de-plomb,Loodgrijs dikbekje,Свинцовый просяночник,アゴジロヒメウソ,kněžík šedý,menjagrà plumbi,patativa,blyfrøeter,Оловносива тъпоклюна танагра,blygrå frötangara,Blygrå Klerkefinke,Kurşuni Tohumcul,kňažík popolavý,Siva popić zeba,Зерноїд сивий,铅色食籽雀,harmaasirkkunen,Semillero plomizo,Plumbeous Seedeater,Espiguero Plomizo,Patativa,olovasti sjemenar,švininė kikilinė starta,دانهخوار سربی,Hadysor tywyll,Plumbeous Seedeater,Beccasemi piombato,鉛黑食籽雀,plumba semtangaro,,,,,,,,,,,,,,,,
11587,Sporophila ruficollis,Dark-throated Seedeater,datsee1,aves,Schwarzkehlspelzer,Semillero Gorjioscuro,ziarnojadek moczarowy,Sporophile à gorge sombre,Zwartkeeldikbekje,Чернозобый просяночник,ノドグロヒメウソ,kněžík tmavohrdlý,menjagrà gorjanegre,caboclinho-de-papo-escuro,svartstrupefrøeter,Сивоглава тъпоклюна танагра,svartstrupig frötangara,Sorthalset Klerkefinke,Koyu Gerdanlı Tohumcul,kňažík bradatý,Tamnogrla popić zeba,Зерноїд чорноволий,黑喉食籽雀,mustakurkkusirkkunen,Semillero gorjioscuro,Semillero Gorjioscuro,Espiguero de Garganta Oscura,Caboclinho-de-papo-escuro,crnoprsi sjemenar,tamsiagurklė kikilinė starta,دانهخوار گردنیاقوتی,Hadysor gyddfddu,Dark-throated Seedeater,Beccasemi golascura,黑喉食籽雀,malhelgorĝa semtangaro,,,,,,,,,,,,,,,,
11588,Sporophila schistacea,Slate-colored Seedeater,slcsee1,aves,Schieferspelzer,Semillero Pizarroso,ziarnojadek popielaty,Sporophile ardoisé,Leigrijs dikbekje,Аспидный просяночник,ハイイロヒメウソ,kněžík šedobílý,menjagrà pissarrós,cigarrinha-do-norte,skiferfrøeter,Оранжевоклюна тъпочовка,skifferfrötangara,Skifergrå Klerkefinke,Kül Rengi Tohumcul,kňažík bridlicový,Škriljasta popić zeba,Зерноїд попелястий,灰蓝食籽雀,tuhkasirkkunen,Semillero pizarroso,Semillero Plomizo,Espiguero Pizarroso,Cigarra-do-norte,bjelotrbi sjemenar,pilkoji kikilinė starta,دانهخوار سنگلوحی,Hadysor llwydlas,Slate-colored Seedeater,Beccasemi ardesia,鉛灰食籽雀,ardeza semtangaro,,,,,,,,,,,,,,,,
11589,Sporophila simplex,Drab Seedeater,drasee1,aves,Schlichtspelzer,Semillero Simple,ziarnojadek Taczanowskiego,Sporophile simple,Vaalbruin dikbekje,Толстоклювый просяночник,ムジヒメウソ,kněžík prostý,menjagrà senzill,sementeiro-simples,brunfrøeter,Мараньонска тъпоклюна танагра,brun frötangara,Jordbrun Klerkefinke,Düz Renkli Tohumcul,kňažík hnedkavý,Jednobojna popić zeba,Зерноїд перуанський,黄褐食籽雀,perunsirkkunen,Semillero simple,Semillero Simple,Espiguero Simple,Drab seedeater,smeđi sjemenar,storasnapė kikilinė starta,دانهخوار کدر,Hadysor diliw,Drab Seedeater,Beccasemi scialbo,黃褐食籽雀,simpla semtangaro,,,,,,,,,,,,,,,,
11590,Sporophila telasco,Chestnut-throated Seedeater,chtsee1,aves,Braunkehlspelzer,Semillero Gorjicastaño,ziarnojadek rudobrody,Sporophile télasco,Roodkindikbekje,Каштановогорлый просяночник,クリノドヒメウソ,kněžík malinký,menjagrà de gorja castanya,sementeiro-de-garganta-avelã,brunhakefrøeter,Кестенявогуша тъпоклюна танагра,brunstrupig frötangara,Brunstrubet Klerkefinke,Kestane Gıdılı Tohumcul,kňažík hnedohrdlý,Smeđogrla popić zeba,Зерноїд рудогорлий,栗喉食籽雀,ruskokurkkusirkkunen,Semillero gorjicastaño,Semillero Gorjicastaño,Espiguero Gorgicastaño,Chestnut-throated seedeater,kestenjastogrli sjemenar,rudagurklė kikilinė starta,دانهخوار گلوبلوطی,Hadysor gyddfwinau,Chestnut-throated Seedeater,Beccasemi golacastana,栗喉食籽雀,kaŝtangorĝa semtangaro,Tumako-törpepinty,,,,,,,,,,,,,,,
11591,Sporophila torqueola,Cinnamon-rumped Seedeater,whcsee2,aves,Halsbandspelzer,Semillero Torcaz,ziarnojadek obrożny,Sporophile à col blanc,Kaneelstuitdikbekje,Ошейниковый просяночник,セアカシロエリヒメウソ,Kněžík obojkový,menjagrà de carpó castany,sementeiro-d'uropígio-canela,hvithalsfrøeter,Огърличеста тъпоклюна танагра,kanelgumpad frötangara,Brungumpet Klerkefinke,Kızıl Sokumlu Tohumcul,kňažík obojkový,Meksička riđotrba popić zeba,Зерноїд бурогузий,白领食籽雀,kaulussirkkunen,Semillero torcaz,Semillero Rabadilla Canela,Semillero Torcaz,Cinnamon-rumped seedeater,cimetastoleđi sjemenar,baltsvītru stērstiņa,دانهخوار طوقسفید,Hadysor gyddfwyn y Gogledd,Cinnamon-rumped Seedeater,Beccasemi collobianco,白領食籽雀,kanelpuga semtangaro,barnafarkú törpepinty,,,baltsvītru stērstiņa,,,,,,,,,,,,
11592,Sporopipes frontalis,Speckle-fronted Weaver,spfwea1,aves,Fleckstirnweber,Tejedorcito Frontal,łuskogłowik rdzawoszyi,Sporopipe quadrillé,Schubkopwever,Пестролобый воробьиный ткачик,チャエリキクスズメ,astrildovec uzdičkový,teixidor menut de clatell rogenc,tecelão-frontal,rustnakkevever,Пъстрочел тъкач,rostnackad vävare,Skælisset Væver,Yıldız Alınlı Dokumacı,fuzánka plavá,Ljuskoglava tkalja,Магалі-вусань північний,点额织布鸟,pisamaotsakutoja,Tejedorcito frontal,Tejedorcito Frontal,Tejedorcito Frontal,Speckle-fronted weaver,pjegavočela pletilja,Pietinis ūsuotasis audėjas,جولای جلولکهای,Gwehydd aelfrith,pärllaup-kangurlind,Tessitore frontemacchiata,黑額織布鳥,punktofrunta teksbirdo,akácia-szövőmadár,,,,,,,,,,,,,,,
11593,Sporopipes squamifrons,Scaly Weaver,scawea1,aves,Bartweber,Tejedorcito Escamoso,łuskogłowik czarnobrody,Sporopipe squameux,Baardmanwever,Усатый воробьиный ткачик,キクスズメ,astrildovec vousatý,teixidor menut de front escatós,tecelão-escamoso,skjeggvever,Люспесточел тъкач,mustaschvävare,Skægvæver,Pul Alınlı Dokumacı,fuzánka sivá,Brkica,Магалі-вусань південний,鳞额编织雀,suomuotsakutoja,Tejedorcito escamoso,Tejedorcito Escamoso,Tejedorcito Escamoso,Scaly weaver,ljuskastočela pletilja,šiaurinis ūsuotasis audėjas,جولای پرپولکی,Gwehydd barfog,roosanokk-kangurlind,Tessitore squamato,鱗額織布鳥,skvama teksbirdo,pikkelyes szövőmadár,,,,,,,,,Baardmannetjie,,,,,,
11594,Stachyris grammiceps,White-breasted Babbler,whbbab2,aves,Grauwangen-Buschtimalie,Timalí Pechiblanco,cierniodziób białobrzuchy,Timalie à poitrine blanche,Grijswangboomtimalia,Трёхцветная тимелия,シロハラモリチメドリ,timálie jávská,timàlia pitblanca,timali-de-peito-branco,hvitbringetimal,Белогърда тимелия,javatimalia,Hvidbuget Krattimalie,Ak Karınlı Çalı Timalyası,timália sivolíca,Belogruda crvenokrila brbljuša,Суїмей білогрудий,白胸穗鹛,jaavanlymytimali,Timalí pechiblanco,Timalí Pechiblanco,Timalí Pechiblanco,White-breasted babbler,riđoleđi drozdalj,Baltakrūtis stachiris,White-breasted Babbler,preblyn coed bronwyn,White-breasted Babbler,Garrulo pettobianco,白胸穗鶥,blankventra timalio,,,,,,Tepus dada-putih,,,,,,,,,,
11595,Stachyris herberti,Sooty Babbler,soobab1,aves,Laosbuschtimalie,Timalí de Herbert,cierniodziób okopcony,Timalie de Herbert,Laotiaanse boomtimalia,Лаосская тимелия,ラオスモリチメドリ,timálie laoská,timàlia de Herbert,timali-fuliginoso,sottimal,Черна тимелия,sottimalia,Sodbrun Krattimalie,İs Rengi Çalı Timalyası,timália sadzová,Čađava brbljuša,Суїмей лаоський,乌穗鹛,laosinlymytimali,Timalí de Herbert,Timalí de Herbert,Timalí de Herbert,Sooty babbler,mrki drozdalj,Juosvasis stachiris,Sooty Babbler,preblyn coed tywyll,Sooty Babbler,Garrulo fuligginoso,烏穗鶥,fulga timalio,,,,,,,,,,,,,,,,
11596,Stachyris humei,Sikkim Wedge-billed Babbler,wbwbab1,aves,Schwarzbrust-Buschtimalie,Ratina Picocuña Occidental,łuskotymalek czarnolicy,Timalie à gros bec,Westelijke wigsnaveltimalia,Сиккимская клиноклювка,キリハシチメドリ,timálie klínozobá,timàlia becgrossa negra,timali-bico-de-cunha-ocidental,kilenebbtimal,Сикимска тимелия,sikkimtimalia,Kilenæbs Skæltimalie,Kara Göğüslü Çalı Timalyası,timália klinozobá,Sikimska klinokljuna brbljuša,Тимелія-клинодзьоб чорновола,黑胸楔嘴鹩鹛,kiilanokkatimali,Ratina picocuña occidental,Ratina Picocuña Occidental,Ratina Picocuña Occidental,Sikkim wedge-billed babbler,crnoprsi striž,Juodakrūtis pleištasnapis plepys,Sikkim Wedge-billed Babbler,drywbreblyn lletembig,Sikkim Wedge-billed Babbler,Garrulo scricciolo cuneato,黑胸楔嘴鷯鶥,nigrabrusta timalio,,,,,,,,,,,,,,,,
11597,Stachyris leucotis,White-necked Babbler,whnbab1,aves,Perlhals-Buschtimalie,Timalí Orejudo,cierniodziób szarolicy,Timalie oreillarde,Witnekboomtimalia,Белоухая тимелия,シラボシモリチメドリ,timálie hvízdavá,timàlia orelluda,timali-orelhudo,perlehalstimal,Сивоуха тимелия,pärlhalsad timalia,Skæløret Krattimalie,Küpeli Çalı Timalyası,timália perlovaná,Belovrata brbljuša,Суїмей сірощокий,白耳穗鹛,harmaaotsatimali,Timalí orejudo,Timalí Orejudo,Timalí Orejudo,White-necked babbler,biserasti drozdalj,Baltaausis stachiris,White-necked Babbler,preblyn coed gyddfwyn,White-necked Babbler,Garrulo collobianco,白耳穗鶥,perlokola timalio,,,,,,Tepus telinga-putih,,,,,,,,,นกกินแมลงหูขาว,
11598,Stachyris maculata,Chestnut-rumped Babbler,chrbab1,aves,Rostbürzel-Buschtimalie,Timalí Maculado,cierniodziób rdzaworzytny,Timalie maculée,Roodstuitboomtimalia,Пятнистогрудая тимелия,コシアカモリチメドリ,timálie rezavokostřecová,timàlia maculada,timali-maculado,kastanjegumptimal,Петниста тимелия,fjällbröstad timalia,Skælbrystet Krattimalie,Çizgili Çalı Timalyası,timália škvrnitá,Kestenjastoleđa brbljuša,Суїмей рудогузий,红腰穗鹛,siniohjastimali,Timalí maculado,Timalí Maculado,Timalí Maculado,Chestnut-rumped babbler,pjegavoprsi drozdalj,Rudasturplis stachiris,Chestnut-rumped Babbler,preblyn coed tinwinau,Chestnut-rumped Babbler,Garrulo groppacastana,紅腰穗鶥,makula timalio,kéknyakú bozóttimália,,,,,Tepus tunggir-merah,,,,,,,,,นกกินแมลงตะโพกแดง,
11599,Stachyris nigriceps,Gray-throated Babbler,gytbab1,aves,Schwarzbrauen-Buschtimalie,Timalí Gorjigrís,cierniodziób płowy,Timalie à tête rayée,Grijskeelboomtimalia,Белоусая тимелия,ハイノドモリチメドリ,timálie šedohrdlá,timàlia cap-ratllada,timali-de-cabeça-estriada,stripepannetimal,Пъстроглава тимелия,gråstrupig timalia,Gråstrubet Krattimalie,Kırçıllı Çalı Timalyası,timália horská,Sivogrla brbljuša,Суїмей вохристий,黑头穗鹛,viirulakkitimali,Timalí gorjigrís,Timalí Gorjigrís,Timalí Gorjigrís,Gray-throated babbler,prugastokapi drozdalj,Pilkagurklis stachiris,Gray-throated Babbler,preblyn coed gyddflwyd,Gray-throated Babbler,Garrulo golagrigia,黑頭穗鶥,grizgorĝa timalio,,,,,,Tepus kepala-hitam,,,,,,,,,นกกินแมลงคอเทา,
11600,Stachyris nigricollis,Black-throated Babbler,bltbab1,aves,Schwarzkehl-Buschtimalie,Timalí Gorjinegro,cierniodziób czarnogardły,Timalie à gorge noire,Zwartkeelboomtimalia,Чернозобая тимелия,ノドグロモリチメドリ,timálie černohrdlá,timàlia gorjanegra,timali-de-garganta-preta,svartsmekketimal,Черногуша тимелия,svartstrupig timalia,Sorthalset Krattimalie,Kara Boğazlı Çalı Timalyası,timália čiernohrdlá,Crnogrla brbljuša,Суїмей чорногорлий,黑喉穗鹛,viiruotsatimali,Timalí gorjinegro,Timalí Gorjinegro,Timalí Gorjinegro,Black-throated babbler,crnogrli drozdalj,Juodagurklis stachiris,Black-throated Babbler,preblyn coed gyddfddu,Black-throated Babbler,Garrulo golanera,黑喉穗鶥,nigragorĝa timalio,,,,,,Tepus kaban,,,,,,,,,นกกินแมลงคอดำ,
11601,Stachyris nonggangensis,Nonggang Babbler,nonbab1,aves,Nonggang-Buschtimalie,Timalí de Nonggang,cierniodziób chiński,Timalie de Nonggang,Nonggangboomtimalia,Нонггангская тимелия,ナンガンモリチメドリ,timálie nongganská,timàlia de Nonggang,timali-de-nonggang,nonggangtimal,Белоуха тимелия,nonggangtimalia,Nonggang Krattimalie,Nonggang Çalı Timalyası,timália krasová,Brbljuša iz oblasti Nonggang u Kini,Суїмей китайський,弄岗穗鹛,kuuposkitimali,Timalí de Nonggang,Timalí de Nonggang,Timalí de Nonggang,Nonggang babbler,čađasti drozdalj,kininis stachiris,Nonggang Babbler,Nonggang Babbler,Nonggang Babbler,Garrulo di Nonggang,弄崗穗鶥,nongganga timalio,nonggangi bozóttimália,,,,,,,,,,,,,,,
11602,Stachyris oglei,Snowy-throated Babbler,sntbab1,aves,Weißkehl-Buschtimalie,Timalí Gorjiblanco,cierniodziób maskowy,Timalie d'Austen,Witkeelboomtimalia,Белогорлая тимелия,ミミグロモリチメドリ,timálie bělohrdlá,timàlia gorjablanca,timali-de-garganta-branca,stripehalstimal,Арунчалпрадешка тимелия,vitstrupig timalia,Assam Krattimalie,Ak Gerdanlı Çalı Timalyası,timália masková,Snežnogrla brbljuša,Суїмей асамський,奥氏穗鹛,assaminlymytimali,Timalí gorjiblanco,Timalí Gorjiblanco,Timalí Gorjiblanco,Snowy-throated babbler,bjelogrli drozdalj,Baltagurklis stachiris,لیکوی گلوبرفی,preblyn coed Austen,Snowy-throated Babbler,Garrulo golanivea,奧氏穗鶥,blankagorĝa timalio,,,,,,,,,,,,,,,,
11603,Stachyris poliocephala,Gray-headed Babbler,gyhbab1,aves,Graukopf-Buschtimalie,Timalí Cabecigrís,cierniodziób sędziwy,Timalie à tête grise,Grijskopboomtimalia,Темноголовая тимелия,ハイガシラモリチメドリ,timálie šedolící,timàlia capgrisa,timali-de-cabeça-cinzenta,gråhodetimal,Сивоглава тимелия,gråhuvad timalia,Kastanje Krattimalie,Gri Başlı Çalı Timalyası,timália sivohlavá,Sivoglava brbljuša,Суїмей світлоокий,灰头穗鹛,huppulymytimali,Timalí cabecigrís,Timalí Cabecigrís,Timalí Cabecigrís,Gray-headed babbler,olovastoglavi drozdalj,Pilkagalvis stachiris,Gray-headed Babbler,preblyn coed penllwyd,Gray-headed Babbler,Garrulo testagrigia,灰頭穗鶥,grizkapa timalio,,,,,,Tepus kepala-kelabu,,,,,,,,,นกกินแมลงตาขาว,
11604,Stachyris roberti,Cachar Wedge-billed Babbler,chbbab1,aves,Schuppenbuschtimalie,Ratina Picocuña Oriental,łuskotymalek brązowolicy,Timalie de Robert,Oostelijke wigsnaveltimalia,Чешуегрудая клиноклювка,チャイロキリハシチメドリ,Cachar Wedge-billed Babbler,timàlia becgrossa bruna,timali-bico-de-cunha-oriental,sjevrontimal,Качарска тимелия,cachartimalia,Hvidbrynet Skæltimalie,Çentikli Çalı Timalyası,timália šupinkatá,Robertova klinokljuna brbljuša,Тимелія-клинодзьоб світловола,楔嘴穗鹛,Cachar Wedge-billed Babbler,Ratina picocuña oriental,Ratina Picocuña Oriental,Ratina Picocuña Oriental,Cachar wedge-billed babbler,veliki striž,Rytinis pleištasnapis plepys,Cachar Wedge-billed Babbler,Cachar Wedge-billed Babbler,Cachar Wedge-billed Babbler,,紋胸楔嘴鷯鶥,skvambrusta timalio,,,,,,,,,,,,,,,,
11605,Stachyris strialata,Spot-necked Babbler,spnbab1,aves,Fleckenhals-Buschtimalie,Timalí Gorjipinto,cierniodziób plamkoszyi,Timalie à cou tacheté,Vleknekboomtimalia,Пестрошейная тимелия,エリボシモリチメドリ,timálie skvrnitokrká,timàlia collpintada,timali-de-pescoço-malhado,flekkhalstimal,Пъстроврата тимелия,fläckhalsad timalia,Perlehalstimalie,İnci Boyunlu Çalı Timalyası,timália čiernofúza,Pegavovrata brbljuša,Суїмей червоногрудий,斑颈穗鹛,pisarakaulatimali,Timalí gorjipinto,Timalí Gorjipinto,Timalí Gorjipinto,Spot-necked babbler,pjegavovrati drozdalj,Dėmėtakaklis stachiris,Spot-necked Babbler,preblyn coed gwddf mannog,Spot-necked Babbler,Garrulo collomacchiato,斑頸穗鶥,makulkola timalio,,,,,,Tepus lurik,,,,,,,,,นกกินแมลงคอลาย,
11606,Stachyris thoracica,White-bibbed Babbler,whbbab1,aves,Weißlatz-Buschtimalie,Timalí Cuelliblanco,cierniodziób białowstęgi,Timalie à col blanc,Witborstboomtimalia,Белозобая тимелия,ムナジロモリチメドリ,timálie džunglová,timàlia de pitet blanc,timali-de-babete-branco,hvitsmekketimal,Кестенява тимелия,vithalsad timalia,Hvidhalset Krattimalie,Ak Boğmaklı Çalı Timalyası,timália bieloprsá,Belobrada brbljuša,Суїмей біловолий,白领穗鹛,valkokaulustimali,Timalí cuelliblanco,Timalí Cuelliblanco,Timalí Cuelliblanco,White-bibbed babbler,crnolici drozdalj,Baltadėmis stachiris,White-bibbed Babbler,preblyn coed torchwyn,White-bibbed Babbler,Garrulo mentobianco,白領穗鶥,blankbrusta timalio,,,,,,Tepus leher putih,,,,,,,,,,
11607,Stactolaema anchietae,Anchieta's Barbet,ancbar1,aves,Strohkopf-Bartvogel,Barbudo de Anchieta,brodacznik żółtolicy,Barbican à tête jaune,Geelkopbaardvogel,Желтолицая либия,キガシラゴシキドリ,vousáček žlutohlavý,barbut d'Anchieta,barbaças-de-anchieta,gulmaskeskjeggfugl,Белолика брадатка,gulhuvad barbett,Gulhovedet Skægfugl,Sarı Kafalı Barbet,fuzáň žltohlavý,Anhijetin barbet,Барбікан жовтоголовий,黄头拟䴕,kultanaamaseppä,Barbudo de Anchieta,Barbudo de Anchieta,Barbudo de Anchieta,Anchieta's barbet,svjetloglavi barbet,Geltongalvis rudasis skardžius,Anchieta's Barbet,Barbed Anchieta,kahkpea-udelind,Barbetto di Anchieta,黃頭擬啄木,flavkapa barbulo,,,,,,,,,,,,,,,,
11608,Stactolaema leucotis,White-eared Barbet,whebar1,aves,Weißohr-Bartvogel,Barbudo Orejiblanco,brodacznik białouchy,Barbican oreillard,Witoorbaardvogel,Белоухая либия,ミミジロゴシキドリ,vousáček bělouchý,barbut d'orelles blanques,barbaças-d'orelhas-brancas,hvitbrynskjeggfugl,Белоуха брадатка,vitörad barbett,Hvidøret Skægfugl,Ak Kulaklı Barbet,fuzáň bielosluchý,Belouhi barbet,Барбікан білогузий,白耳拟䴕,valkokulmaseppä,Barbudo orejiblanco,Barbudo Orejiblanco,Barbudo Orejiblanco,White-eared barbet,bjelouhi barbet,Baltaausis rudasis skardžius,White-eared Barbet,Barbed clustwyn,valgekõrv-udelind,Barbetto dai sopraccigli,白耳擬啄木,blankorela barbulo,fehérfülű bajszika,,,,,,,,,Witoorhoutkapper,,,,,,
11609,Stactolaema whytii,Whyte's Barbet,whybar1,aves,Spiegelbartvogel,Barbudo Especulado,brodacznik białoskrzydły,Barbican de Whyte,Whytebaardvogel,Белокрылая либия,アゴジロゴシキドリ,vousáček bělokřídlý,barbut de Whyte,barbaças-de-whyte,hvitvingeskjeggfugl,Родезийска брадатка,vitvingad barbett,Hvidvinget Skægfugl,Whyte Barbeti,fuzáň bielokrídly,Vajtov barbet,Барбікан білокрилий,中非拟䴕,kultaotsaseppä,Barbudo especulado,Barbudo Especulado,Barbudo Especulado,Whyte's barbet,bjelokrili barbet,Vaito rudasis skardžius,Whyte's Barbet,Barbed Whyte,laiktiib-udelind,Barbetto di Whyte,中非擬啄木,blankflugila barbulo,,,,,,,,,,Geelbleshoutkapper,,,,,,
