common_name_sl







brezovček




















skobec



















žalostna majna
osočnikova penica

mlinarček

atlaška penica
svetlooka penica


arabska penica

žametna penica
ciprska penica
kaspijska penica
puščavska penica
pisana penica
črnogrla penica
otoška penica


palčja penica

puščavski tekalec


mali puščavski tekalec







plavček
sinji plavček
























































modra sraka
























črni labod

mali labod
labod pevec

labod grbec


































































afriški palmov hudournik








rjasti lovač
kričavi lovač
veliki lovač
žabjekljunec
pegasti lovač


















kapski viharnik

































mestna lastovka






























belohrbti detel

veliki detel

sirijski detel


srednji detel



rumeni žvižgač


mali žvižgač
vdovski žvižgač










































































































































































kraljevi albatros
klateški albatros












bobolink


























čapljar





















mali detel







črna žolna














































































sivi oponašalec
























golob selec































črna čaplja
modra čaplja

mala bela čaplja
obalna čaplja




snežna čaplja
tribarvna čaplja






























lebduh




modroobrvi motmot
širokokljuni motmot

































vrbji strnad
rjavoglavi strnad
sivoglavi strnad

balkanski strnad
veliki strnad

sibirski strnad
skalni strnad
turški strnad
travniški strnad
plotni strnad
rumeni strnad





vrtni strnad




beloglavi strnad
črnoglavi strnad
vzhodni trstni strnad


mali strnad
gozdni strnad
kostanjevi strnad

trstni strnad


pepelastoglavi strnad
črnogrli strnad
domači strnad

progastoglavi strnad
























akadijski tiranček























čmoglavi dlesk
japonski dlesk



































peščeni škrjanec











uhati škrjanec
puščavski uhati škrjanec





beločeli škrjanec
meniški škrjanec
















taščica












































rečna astrilda


oranžnolična astrilda



























dular



























gizdavi motmot























afriški srebrnokljunček
indijski srebrnokljunček




črni škorčevec

















































































azurna krokarica
cimetasta krokarica
modrogrla krokarica
zelena krokarica
























južni sokol

sokol plenilec

mali sokol
sajasti sokol




sredozemski sokol







južna postovka


sokol selec




arktični sokol

ameriška postovka
škrjančar

postovka
rdečenoga postovka














belovrati muhar












črnoglavi muhar

prosnikov muhar



mali muhar





balkanski muhar




















































frankolin










mormon
čopasti mormon







lepa bumica

belotrebušni strakoš





ščinkavec

pinoža



kanarski ščinkavec

ameriška liska


liska

grebenasta liska




ledni viharnik













































čopasti škrjanec




španski škrjanec











kozica





čoketa
jenisejska kozica





ostrorepa kozica


zelenonoga tukalica
























































šoja





rumenokljuni slapnik
polarni slapnik
ledni slapnik

rdečegrli slapnik











črnonoga čigra

luskovranka





























sibirski droznik













































krinkar















klavžar


























orientalska komatna tekica
črna komatna tekica


rjava komatna tekica





















mali skovik



























































































































žerjav

meniški žerjav


deviški žerjav






























vranjek







































rumenogrli vrabec

brkati ser


sajasti plešec

beloglavi jastreb


grahasti plcšec




















kanarska školjkarica

školjkarica











poljski gozdomec
kakavni gozdomec
progasti gozdomec
rdeči gozdomec
javanski gozdomec

sivoglavi gozdomec
modroprsi gozdomec
črnoglavi gozdomec
sinji gozdomec
mangrovski gozdomec
izmirski gozdomec
belorepec
ameriški jezerec
jezerec




































nilski dolgorepi cvetličar

nigerski dolgorepi cvetličar



















































bičji kobiličar
veliki cvrčalec




















































































zlati debelokljun


































mali orel











polojnik






rumeni vrtnik
trnovi vrtnik
oljčni vrtnik
kratkoperuti vrtnik






mali podkvasti hudournik




etiopska lastovka












kmečka lastovka
nitorepa lastovka


harlekinka

































madeirski strakoš





viharni strakoš





japonski strakoš

strakoš






mali galeb




kaspijska čigra

















































gozdni cikovtnik


mali motmot




























































dolgorepi pegam





















































sredozemski galeb
čadasti galeb
ribji galeb
rdečemorski galeb
črnoglavi galeb












trupial




















črnoriti trupial




afriški jezerec












mali vrtnik


bledi vrtnik


















































belogrlež














gozdni vodomček
travniški vodomček


pisani droznik

















sivi junko




vijeglavka























ribja uharica






























tigrasti lovač









amaranta


barjanski jereb

belka

































































































rjavi srakoper

sibirski srakoper

veliki srakoper
akacijev srakoper



bledi srakoper


južni veliki srakoper
črnočeli srakoper

zakrinkani srakoper

orientalski srakoper
rjavoglavi srakoper









srebrni galeb
armenski galeb



črnomorski galeb

sivi galeb

progastokljuni galeb

rjavi galeb
sinji galeb
polarni galeb

ledni galeb

veliki galeb
rumenonogi galeb








sinji slavec









































listnični goseničar































































































marabu



































snežni žerjav







azteški galeb


prerijski galeb



































kratkokljuni greznik
dolgokljuni greznik













pepelasti kljunač
progastorepi kljunač
črnorepi kljunač
repnik
severni repnik


















































rečni cvrčalec


progasti kobiličar
trstni cvrčalec





kobiličar
















































kapucasti žagar



čopasta sinica





































































krivokljun
beloperuti krivokljun

veliki krivokljun
škotski krivokljun















hribski škrjanec




veliki slavec
slavec

modra taščica


















puklež








kavkaški ruševec
ruševec





































južni veleviharnik
severni veleviharnik














































































































ameriška žvižgavka
srpasti kreheljc

žvižgavka

konopnica







marmorna raca









































kraljevi pasat
čopasti pasat
orjaški pasat
ovratniški pasat












































































































beloliska
črna raca
očalarka












gorski kalander
laški škrjanec


črni kalander






















puran










kavljekljunec

golobičar

















































močvirski vrabonad

pojoči vrabonad



















mali žagar

veliki žagar

srednji žagar

bradati legat
zakrinkani čebelar

čebelar
rjasti čebelar
črnoglavi čebelar
beločeli čebelar
rdečegrli čebelar

črni čebelar
lastovičji čebelar

ogrličasti čebelar
rožnati čebelar
modrobrki čebelar
safirasti čebelar
škrlatni čebelar
rdeči čebelar
gorski čebelar
smaragdni čebelar
avstralski čebelar
zeleni čebelar
bodičasti čebelar
mali čebelar
somalijski čebelar
olivni čebelar
močvirski čebelar
malajski čebelar








































afriški kormoran



pritlikavi kormoran






























mali golobičar









































črni škarnik
rjavi škarnik









severni oponašalec



























kordofanski škrlec




















zebrasti peničar


















rjavoglavi kravar



gorski motmot
trinidadski motmot
modrokroni motmot
diademski motmot
čebelarski motmot
amazonski motmot
karamelni motmot



























slegur


puščavec


planinski vrabec












strmoglavec
kapski strmoglavec



deviška pastirica
bela pastirica


siva pastirica
citronasta pastirica

rumena pastirica























rjavi muhar










sivi muhar












































afriški nesit























































































meniška papiga




























































































čadasti termitar



















































































































zlatogrli kormoran




















kapucasti jastreb























































afriška breguljka








egiptovski jastreb







































kafrska droplja


nubijska droplja










































tatarska žvižgavka

komatna račka


















































































































krekovt




veliki škurh
eskimski škurh


jakutski škurh
mali škurh

tenkokljuni škurh
pegatka




















kvakač

















rdečebradi legat
modrobradi legat









antarktični strakoš











































































dolgorepa grlica

čmobeli kupčar


ciprski kupčar
puščavski kupčar


turški kupčar



sredozemski kupčar
bledi kupčar
beloglavi kupčar
črni kupčar
žalobni kupčar



sivi cmokač
mavrski kupčar
meniški kupčar
kupčar

nunski kupčar

črnomorski kupčar


rdečerepi kupčar











































izraelski rdečeperutec


aleutska čigra
rjavoperuta čigra
črnoperuta čigra













































































kobilar





































































velika droplja















perzijski skovik





































veliki skovik





















belolična trdorepka
beloglavka







































































































beli galeb






















ribji orel






brkata sinica






















