common_name_ar
































جبون رشيق
جبون بورنيو أبيض اللحية
جبون رمادي شرقي
جبون لار
جبون فضي

جبون ذو التاج


































































خناق رمادي






































بيبستريلس سافي

شيهم ملاوي
شيهم مبذول










نمس أبيض الذنب
نورس أودوين
نورس أسخم
نورس أسود الرأس كبير
نورس أبيض العين
نورس البحر المتوسط



















































هازجة منتعلة

هازجة زيتونية غربية
هازجة زيتونية شرقية
هازجة سايسكية

































إندري شائع















أبو الحناء أبيض الحنجرة












بندقوط بني شمالي
بندقوط بني شمالي



























لَّوَّاء أوراسي











كابياء الصخور











بوهة السمك بنية






















تيل أحمر
بوكو























فسكاش السهول
سعدان صوفي رمادي




















لاما
غوناق
ألبكة







































































صرد أحمر الظهر



صرد رمادي كبير




صرد اشهب


صرد رمادي جنوبي
صرد رمادي صغير

صرد مقنع
صرد أحمر الذنب
صرد طويل الذنب
صُرَد أحمر القنة









نورس فضي
نورس ارميني


نَوْرَسٌ قَصِيرُ مِنقَارٍ
نورس قزويني

نورس شائع



نورس أغبس



نورس ازرق

نورس أسود الظهر كبير
نورس أصفر الساق






























































ليمور حلقي الذيل


طمارين الأسدي الأسود
طمارين الأسد الذهبي
كودكود
قط الببر الجنوبي
أصلوت
مارج





























































فقمة ويديل













لقلق أبو سعن


















أرنب بني



























نورس فرانكلين




































شنقب طويل المنقار














بقويقة سلطانية مخططة الذيل
بقويقة سلطانية سوداء الذيل
حسون تفاحي


























ضفدع أخضر











فقمة آكلة السرطان












هازجة نهرية



هازجة سافية





هازجة جندبية شائعة

































قضاعة الأنهار للإقليم المداري الجديد الشمالية
قضاعة الأنهار الشمالية
قضاعة الأنهار للإقليم المداري الجديد


