common_name_mk







огнено конопјарче
голем славеј
славејче

синогушка


















мала бекасина









мал тетреб
























































































































































патка свиркач

сива патка







мраморна патка

























































































































































белокрила црнка















голема чучулига














































































































бел нуркач

голем северен нуркач

среден северен нуркач




пчеларка




































































мал корморан








































































црна луња
црвена луња



















































































































карпест дрозд


модар дрозд


снежна ѕвингалка


















бела тресиопашка


планинска тресиопашка


жолта тресиопашка


































сиво муварче











































































































































































































































































































































































































































египетски мршојадец























































алдабранско метларе
краткоопашно метларче
песочно метларче
мохелско метларче
мадагаскарско метларче

























патка превез




















































































































лешникарка




голем српоклун свиркач




шарен српоклун свиркач

тенкоклун српоклун свиркач





















ноќна чапја





















































































































шпанско камењарче










обично камењарче



шарено камењарче

































































































































саријазма





































































голема дропља





















































ќук






















белоглава патка






























































































































орел рибар






мустаклеста сипка


















































































голема сипка






домашно врапче






шпанско врапче






полско врапче

















розев сколовранец










































кадроглав пеликан


обичен пеликан









































































полска еребица

















елова сипка










осојад













































врапче камењарче








































































голем корморан































обичен фазан
















































































розев фламинго









кавкаска црвеноопашарка






циганче
лисесто циганче








































































западен планински свиркач











обичен свиркач


































источен планински свиркач












шумски свиркач








брезов свиркач































страчка





тропрст клукајдрвец



































сивоглав клукајдрвец








зелен клукајдрвец













































































































чапја лажичарка


































































ибис














































































златно блатарче


сиво блатарче











ушест нуркач
цуцулест нуркач

црвеноврат нуркач

црноврат нуркач
















голема црноглава сипка
планинска сипка
мала црноглава сипка





























