common_name_lv







parastais ķeģis
rievknābja ani





















































dzeguze




īsspārnu dzeguze
mēmā dzeguze
mazā dzeguze

Himalaju dzeguze

pelēkgalvas mušķērājs






Baleāru ķauķis

Jemenas ķauķis
sarkanrīkles ķauķis
brūnspārnu ķauķis
briļļu ķauķis
Orfeja ķauķis
gaišais ķauķis
Sahāras ķauķis
Atlasa ķauķis
parka ķauķis


Arābijas ķauķis

Vidusjūras ķauķis
Kipras ķauķis
melnsejas ķauķis
Āzijas tuksneša ķauķis
svītrainais ķauķis
melnrīkles ķauķis
tumšais ķauķis


garastes ķauķis

smilšu kurjerputns

Somālijas kurjerputns








zilzīlīte
gaišzilā zīlīte
Kanāriju zilzīlīte

zilais sīlis
Stellera sīlis
zilā stērste













brūnais sīlis



zaļais sīlis






rudgalvas tarkšķis


























zilspārnu žagata


mēļais mušķērājs





















melnais gulbis
taurētājgulbis
mazais gulbis
ziemeļu gulbis

paugurknābja gulbis







platknābja kolibri











pakalnu mušķērājs








































melnā svīre





Āfrikas palmu svīre

Montesumas paipala





























Kāpzemes vētrasputns






























Āzijas čurkste

Nepālas čurkste
mājas čurkste


tumšais rubenis
pelēkais rubenis




















Sindas dzenis

Dārdžilingas dzenis
Himalaju dzenis
rudvēdera dzenis
baltspārnu dzenis
baltmugurdzenis

dižraibais dzenis
Okinavas dzenis
Sīrijas dzenis
dzeltengalvas dzenis
Arābijas dzenis
vidējais dzenis
Kubas svilpējzoss

sarkanknābja svilpējzoss
rūsganā svilpējzoss


mazā svilpējzoss
baltvaigu svilpējzoss







meža cielava





























































sarkankrūšu ziedputns

















































cimeņdrongo
pelēkais drongo


melnais drongo















































klaidoņalbatross












rīsu strazds


























krabju tārtiņš




















sarkankrūšu dzenis
mazais dzenis
Nutala dzenis

pusaugu dzenis
redeļu dzenis

baltvēdera dzilna

melnā dzilna
baltzoda dzilna













































































kaķu putns
























ceļotājbalodis































melnais gārnis
zilais gārnis
Svinhū gārnis
mazais baltais gārnis
rifu gārnis, krastu gārnis


rudkakla gārnis
svētais gārnis
sniega gārnis
trejkrāsu gārnis




























dzirkļastes klīja

melnplecu klīja
baltastes klīja






































birztalu stērste
rudgalvas stērste
akmeņu stērste

rudrīkles stērste
lielā stērste

zeltaču stērste
klinšu stērste
gaišā stērste
pļavu stērste
žogu stērste
dzeltenā stērste
dzeltenrīkles stērste

bērausu stērste
Godļevska stērste

dārza stērste

Jankovska stērste
Kozlova stērste
cekulainā stērste
priežu stērste
melngalvas stērste
ziemeļu stērste


mazā stērste
meža stērste
rudā stērste
mājas stērste
niedru stērste
mēļā stērste

pelēkgalvas stērste
baltgalvas stērste
kalnu stērste
iedzeltenā stērste
baltsvītru stērste
Tristrama stērste
pelēkā stērste
ceru stērste











alkšņu tirāniņš

rietumkrasta tirāniņš

dūkainais tirāniņš
loskrūšu tirāniņš
Hamonda tirāniņš
mazais tirāniņš
dūlais tirāniņš
vītolu tirāniņš
zaļganais tirāniņš
pelēkais tirāniņš










baltgalvas dakšaste
punktainā dakšaste


mazā dakšaste







Ķīnas dižknābis
Japānas dižknābis



































Danna cīrulis











ausainais cīrulis
ragainais cīrulis





melngalvas cīrulis
bērgalvas cīrulis
















sarkanrīklīte





punktainais zobentarkšķis
rudvaigu zobentarkšķis


































dižais lielacis


viļņainais vasknibis








Arābijas vasknibis

















baltais ibiss
sarkanais ibiss


morinella tārtiņš


Āzijas kuela









greznais kolibri































akvamarīna mušķērājs






Āfrikas sudrabknābītis
Indijas sudrabknābītis




rūsas strazds
zilgalvas strazds



























































ausainais kvecals





















mēļā zilvārna

austrumu zilvārna


















taigas mežirbe

Amūras piekūns



rudgalvas piekūns

stepes piekūns
rudkakla piekūns
purva piekūns
tumšais piekūns




Eleonoras piekūns

melnkrūšu piekūns

Indijas piekūns

prēriju piekūns

mazais piekūns


lielais piekūns




medību piekūns

raibais piekūns
bezdelīgu piekūns

lauku piekūns
kukaiņu piekūns













Sibīrijas mušķērājs
baltkakla mušķērājs






Ķīnas mušķērājs
tumšspārnu mušķērājs


zilais pundurmušķērājs
baltaču mušķērājs
melnais mušķērājs

taigas mušķērājs
narcisu mušķērājs


mazais mušķērājs


rudastes mušķērājs

safīra mušķērājs
Balkānu mušķērājs
Atlasa mušķērājs
rudkakla mušķērājs
Kašmiras mušķērājs
ultramarīna mušķērājs

trejkrāsu mušķērājs
sēmais mušķērājs
zeltainais mušķērājs












































melnais frankolins










Atlantijas tuklītis
cekulainais tuklītis
ragainais tuklītis




Debesbraukšanas salas fregatputns
mazais fregatputns
greznais fregatputns
lielais fregatputns
baltvēdera vētrasburātājs


melnvēdera vētrasburātājs


žubīte

ziemas zubīte



zilā žubīte, Teides žubīte

Amerikas laucis


laucis

paugurknābja laucis, Āfrikas laucis




ķilde

brūngalvas losīte


Ladlova losīte

briļļu losīte
Ķīnas losīte
baltaču losīte




































cekulainais cīrulis




Teklas cīrulis








ūdensgailītis

Kanādas mērkaziņa
mērkaziņa
Japānas mērkaziņa




ķikuts
taigas mērkaziņa
Himalaju mērkaziņa



kalnu mērkaziņa
adatastes mērkaziņa


ūdensvistiņa













Okinavas rallis















džungļu vista














Ķīnas vāvulis











sīlis
Himalaju sīlis
Amami sīlis



dzeltenknābja gārgale
melnkakla gārgale
polārā gārgale
Klusā okeāna gārgale
brūnkakla gārgale











kāpu zīriņš



lielā skrējējdzeguze



























Sibīrijas zemesstrazds

sēmais zemesstrazds



































Kentuki ķauķis

sēru ķauķis




Makgilivreja ķauķis
dzeltenrīklīte


Karību paipaldūja

rudā paipaldūja





garspārnu klijāns




klinšu ibiss

























mazais bezdelīgtārtiņš
austrumu bezdelīgtārtiņš
melnspārnu bezdelīgtārtiņš


brūnspārnu bezdelīgtārtiņš





bērais apodziņš




dzegužu apodziņš
kalnu apodziņš









apodziņš































Japānas gārnis
Malajas gārnis






pakalnu maina



































































baltsvītru vāvulis






zilā grandala






Amerikas dzērve

dzērve
Japānas dzērve
melnā dzērve
melnkakla dzērve

mazā dzērve






























cekulainais ūdenis







baltais zīriņš













Kalifornijas kondors













gaišzilais sīlis
mazais akmeņzvirbulis


dzeltenrīkles akmeņzvirbulis

bārdainais grifs


Bengālijas grifs

baltgalvas grifs
Himalaju grifs
Indijas grifs
raibais grifs
garknābja grifs













Aleutu jūras žagata





Kanāriju jūras žagata

jūras žagata
Amerikas jūras žagata




Kasina svilpis
Meksikas svilpis
purpura svilpis






rudais dzenītis


pelēkgalvas dzenītis

melngalvas dzenītis


baltkrūšu dzenītis
jūras ērglis
baltgalvas ērglis
Pallasa ērglis
baltplecu ērglis
brahmaņu klīja
























sārtastes trogons









Nīlas nektārputns

mazais nektārputns




































pelēkgalvas zvaigznīte











slieku ķauķis


Pallasa ķauķis
taigas ķauķis
Ohotas ķauķis

Japānas ķauķis

















































































saulrieta dižknābis
















melngalvas sibija




skaistā sibija






punktainais īsspārnis





pundurērglis



bailīgā vanagdzeguze
ziemeļu vanagzdeguze


lielā vanagdzeguze

parastā vanagdzeguze

garstilbis

melnkakla garstilbis




iedzeltenais ķauķis
pelēkais ķauķis
olīvu ķauķis
daudzbalsu ķauķis






baltrīkles adataste




Etiopijas bezdelīga












bezdelīga
drātsastes bezdelīga
dienvidjūru bezdelīga

arlekīnpīle














dzeltenvēdera cetija




dziedātājcetija
olīvu cetija
kalnu cetija











Madeiras vētrasburātājs

šķeltastes vētrasburātājs
Kalifornijas vētrasburātājs


ziemeļu vētrasburātājs
Gvadelupas vētrasburātājs

Macudairas vētrasburātājs
melnais vētrasburātājs
sīkais vētrasburātājs
Svinhū vētrasburātājs
Azoru vētrasputns
Eiropas vētrasburātājs

Galapagu vētrasburātājs
Tristrama vētrasburātājs



mazais ķīris

ūdensfazāniņš


lielais zīriņš

































