common_name_he







תפוחית שחורת-סנטר
נשר הימלאיה
נשר הודי
נשר דרומי
נשר דק-מקור




















שלצדף אפריקני
שלצדף החוף
שלצדף אמריקני
















שלדג אפור-ראש




שלדג לבן-חזה
עיטם לבן-זנב
עיטם לבן-ראש
עיטם עקוד-זנב
עיטם שטלר


כלב ים אפור
































צופית היאור





















































חרגולן סיבירי
חרגולן גדול






קיפוד חולות מצוי























































יגוארונדי
נמייה מצויה




















עב-מקור ערב


































עיט גמדי
עיט בינוני










תמירון






שיחנית צהובת-בטן
שיחנית גדולה
שיחנית זית
שיחנית רוננת
היפופוטם





סיס חד-זנב




סנונית אתיופית












סנונית רפתות
סנונית חדת-זנב


ברווז איסלנדי


גיבון לבן-גבות מערבי

























צבוע מפוספס




יסעורון מדירה




יסעורון כף ורדה
יסעורון אטלנטי





יסעורון פסיפי
יסעורון האיים האזוריים
יסעורון קטן



קפיבארה מצויה
קפיבארה ננסית

שחף גמדי

ז'קנה זנבתנית


שחפית כספית

























אילנית מצויה














גיבון גמיש
גיבון מזוקן

גיבון לבן-יד
גיבון כסוף-פרווה

גיבון שחור-כיפה


קיכלי יערות































































חיוורנית






































עטלפון סאבי














