common_name_id
Kolibri dagu-zamrud

Merpati-gunung irian
Merpati-gunung mada

Merpati-gunung mada



Jagal punggung-hitam



















Berencet gunung

Berencet dada-karat












Kedidir belang





Puyuh kepala-merah











Cekakak merah
Cekakak jawa



Cekakak cina


Cekakak belukar




Elang bondol
Elang siul










Kolibri-pompom paha-kuning
Kolibri-pompom hijau
Kolibri-pompom uban



Luntur diard
Luntur putri
Luntur kepala-merah

Luntur kasumba
Luntur harimau
Luntur tunggir-coklat

Luntur kalimantan



Rajawali papua







Cingcoang sulawesi
Opior paruh-tebal
Opior jambul

Opior jawa
Opior timor
Opior kepala-abu
Opior sulawesi
Opior kalimantan
Opior flores
Kacamata wallacea



Bida-rawi tanduk
Bida-rawi leher-zamrud
Bida-rawi longuemare
Bida-rawi turmalin
Bida-rawi leher-jingga
Bida-rawi leher-api
Bida-rawi diraja
Bida-rawi merida
Bida-rawi dokoh
Bida-rawi leher-ungu


Tatah-muka gould
Kolibri-kilau semarak-merah
Kolibri-kilau leher-jambon
Kolibri-kilau permaisuri
Kolibri-kilau mahkota-hijau
Kolibri-kilau dada-ungu
Kolibri-kilau dada-cokelat
Kolibri-mirah brasil
Kolibri-kilau leher-hitam

Empu-rawi topi-polos
Empu-rawi kuncir-biru
Empu-rawi paruh-panjang
Empu-rawi dada-garis
Pedendang topeng




Kolibri-peri kuping-hitam
Kolibri-peri mahkota-ungu




Kecici belalang
Kecici abu-abu
Kecici siberia



Caladi tikotok









Tepekong rangkang

Tepekong jambul
Tepekong kumis
Jingjing batu
Jingjing bukit






























Brinji kelabu


Elang ekor-panjang
Delimukan tembaga









































Robin badut








Sibia ekor-panjang

