common_name_lt
Abeilija
Salvino lėlys
Tamsusis lėlys
Šilkauodegis lėlys
Niūrusis lėlys
Pallid Bat
mažasis šeriasparnis trupialas
Anumbis
Common Short-tailed Cricket
Indies Short-tailed Cricket
Didžioji rudagalvė vištelė
Azara’s Night Monkey
Colombian Night Monkey
Andean Night Monkey
Black-headed Night Monkey
Spix's Night Monkey
Sumatrinis trogonas
Javinis trogonas
Rudagalvis apalis
Sidabrinis apalis
Kamerūninis apalis
Kaukėtasis apalis
Čapino apalis
Baltasparnis apalis
Čirindinis apalis
Pilkasis apalis
Geltonkrūtis apalis
Geltongurklis apalis
Keninis apalis
Goslingo apalis
Juodagurklis apalis
Konginis apalis
Ugandinis apalis
Zambezinis apalis
Alyvnugaris apalis
Juodakepuris apalis
Juodaveidis apalis
Rusvagurklis apalis
Žalsvanugaris apalis
Juodagalvis apalis
Šarpo apalis
Maasai Apalis
Citrininis apalis
Geltonskruostis afrikinis trogonas
Geltonsnapis afrikinis trogonas
Dryžauodegis afrikinis trogonas
Boninas medusputns
Red Rail
St. Helena Rail
Juodasnapė kolumbinė musinukė
Rusvakrūtė kolumbinė musinukė
Pietinis australinis baltakaktis
Juodadryžis australinis baltakaktis
Rudakrūtis australinis baltakaktis
krūmu sīlis
Floridas sīlis
Santakrusas sīlis
pelēkzilais sīlis
vienspalvis krūmyninis kėkštas
Mexican Jay
Woodhouse's Scrub-Jay
Salinė afrastura
Smailiauodegė afrastura
Kergeleninis audrašauklis
Rytinė medunešė bitė
Naminė bitė
Bocaina Tree Frog
Guinle Tree Frog
Canebrake Tree Frog
samojinis aplonis
baltaakis aplonis
aplonis giesmininkas
Kuko aplonis
varninis aplonis
tanimbarinis aplonis
sankristobalinis aplonis
atolinis aplonis
norfolkinis aplonis
didysis aplonis
saliamoninis aplonis
ilgauodegis aplonis
kuklusis aplonis
blizgusis aplonis
mažasis aplonis
molukinis aplonis
geltonakis aplonis
mikronezinis aplonis
malajinis aplonis
Pelcelno aplonis
kalninis aplonis
dryžasis aplonis
polinezinis aplonis
rudasparnis aplonis
Afrikinis baltaveidis karvelis
Miškinė pelė
Japakaninė devynbalsė skruzdinukė
Paprastoji raudonsparnė papūga
Timorinė raudonsparnė papūga
Imperatoriškasis pingvinas
Karališkasis pingvinas
Paprastasis kivis
Šiaurės salos rudasis kivis
Didysis kivis
Mažasis kivis
Okarito miško kivis
Tamsiasturplis čiurlys
Mažasis čiurlys
Salinis čiurlys
Juodasis čiurlys
Madagaskarinis čiurlys
Afrikinis čiurlys
Beitso čiurlys
Rytų Afrikos čiurlys
Bredfildo čiurlys
Baltasturplis čiurlys
Indokininis čiurlys
Etiopinis čiurlys
Himalajinis čiurlys
Rudasis čiurlys
Malajinis čiurlys
Rytinis čiurlys
Blyškusis čiurlys
Tibetinis čiurlys
Vienspalvis čiurlys
Ispaninis erelis
Afrikinis peslinis erelis
Pleištauodegis erelis
Kilnusis erelis
Juostuotasis erelis
Molukinis erelis
Karališkasis erelis
Nepalinis erelis
Stepinis erelis
Baltapilvis sakalinis erelis
Juodasis erelis
Ekvadorinė ara
Geltonkrūtė ara
Žaliasparnė ara
Mėlyngurklė ara
Raudonoji ara
Žalioji ara
Raudonkaktė ara
Rudakaktė ara
trispalvė ara
dryžakrūtė voralesė
geltonausė voralesė
plikaveidė voralesė
storasnapė voralesė
Pale Spiderhunter
bornėjinė voralesė
Orange-tufted Spiderhunter
akiniuotoji voralesė
kalninė voralesė
mažoji voralesė
dryžoji voralesė
pilkakrūtė voralesė
ilgasnapė voralesė
Russet-naped Wood-Rail
Rudagalvė miškinė vištelė
Pilkakaklė miškinė vištelė
Raudonsparnė miškinė vištelė
Mažoji miškinė vištelė
Pilkakrūtė miškinė vištelė
Rudoji miškinė vištelė
Didžioji miškinė vištelė
Kvaksė
Aramas
Auksakepurė aratinga
Brazilinė aratinga
Geltonkrūtė aratinga
Juodagalvė papūga
Geltonoji aratinga
Melsvagalvė aratinga
Hainaninė  krūmyninė kurapka
Baltaskruostė krūmyninė kurapka
Rudakrūtė krūmyninė kurapka
Rudagalvė krūmyninė kurapka
Malaizinė krūmyninė kurapka
Taivaninė krūmyninė kurapka
Davido krūmyninė kurapka
Kininė krūmyninė kurapka
Kalimantaninė krūmyninė kurapka
Javinė krūmyninė kurapka
Rusvagurklė krūmyninė kurapka
Pilkakrūtė krūmyninė kurapka
Rolio krūmyninė kurapka
Raudonsnapė krūmyninė kurapka
Sičuaninė krūmyninė kurapka
Raudongurklė krūmyninė kurapka
Sumatrinė krūmyninė kurapka
Paprastoji krūmyninė kurapka
Raibagurklis
arčboldija
Juodagurklis archilochas
Paprastasis archilochas
Australinis Jūrų Lokys
Kergeleninis jūrų lokys
Pietų Afrikos jūrų lokys
Large Banded Grasshopper
Didysis baltasis garnys
Yellow-billed Egret
Pilkasis garnys
Pietų Amerikos garnys
Eastern Cattle-Egret
Garnys milžinas
Didysis pilkasis garnys
Madagaskarinis garnys
Ibiškasis garnys
Baltapilvis garnys
Vidutinis baltasis garnys
Juodagalvis garnys
Baltakaklis garnys
Plumed Egret
Purpurinis garnys
Malajinis garnys
Bulerio audronaša
Storasnapė audronaša
Rausvakojė audronaša
Didžioji audronaša
Pilkoji audronaša
Pleištauodegė audronaša
Plonasnapė audronaša
Rudakaklis kūdrinis garnys
Mangrovinis kūdrinis garnys
Madagaskarinis kūdrinis garnys
Geltonasis kūdrinis garnys
Rudapilvis kūdrinis garnys
Javinis kūdrinis garnys
Arabinis didysis einis
Australinis didysis einis
Afrikinis didysis einis
Indinis didysis einis
Akmenė
Juodoji akmenė
Argusas
Geltonsnapė strazdinė timalija
Irakinė strazdinė timalija
Žvynuotagurklė strazdinė timalija
Paprastoji strazdinė timalija
Pilkagalvis garulaksas
Dryžoji strazdinė timalija
Sacharinė strazdinė timalija
Baltagurklė strazdinė timalija
Afghan Babbler
Liaunasnapė strazdinė timalija
Didžioji strazdinė timalija
Rusvoji strazdinė timalija
Šrilankinė strazdinė timalija
Arabinė strazdinė timalija
Džiunglinė strazdinė timalija
Pilkakaktė strazdinė timalija
geltonkaklis žalsvasis bulbiulis
Black-browed Mountain Greenbul
Kikuyu Mountain Greenbul
Miškinis žalsvasis bulbiulis
Dryžaausis žalsvasis bulbiulis
Kalninis žalsvasis bulbiulis
Uluguru Mountain Greenbul
Rytinis žalsvasis bulbiulis
Olive-headed Greenbul
Vakarinis žalsvasis bulbiulis
Aboto keninis varnėnas
juodakepuris aremonas
Gray-browed Brushfinch
juodagalvė krūmyninė starta
geltonsnapis aremonas
Yellow-mandibled Sparrow
Sierra Nevada Brushfinch
rudagalvė krūmyninė starta
paprastoji alyvinė starta
Costa Rican Brushfinch
didžiasnapė alyvinė starta
Moss-backed Sparrow
citrininis aremonas
San Francisko aremonas
Marañon Sparrow
Perija Brushfinch
Caracas Brushfinch
Paria Brushfinch
geltonsparnis aremonas
Spalvingasis aremonas
juodakrūtis aremonas
raibagalvė krūmyninė starta
dryžagalvė krūmyninė starta
žaliasis aremonopsas
panaminis aremonopsas
olīvu stērste
tokujinis aremonopsas
Rusvakaklis raibasis monarchas
Australinis raibasis monarchas
Baltakaklis raibasis monarchas
Akiniuotasis raibasis monarchas
baltagalvė vanga
juodaveidis artamas
tamsusis artamas
pilkasis artamas
Bismarko artamas
baltakrūtis artamas
didysis artamas
fidžinis artamas
mažasis artamas
baltanugaris artamas
kaukėtasis artamas
baltabruvis artamas
vībotņu zvirbulis
Sagebrush Sparrow
Riviersonderend Moss Frog
Drakenstein Moss Frog
Drewes' moss frog
