common_name_hu




lebenyes guán
törpegém
új-zélandi törpegém
brazil bölömbika
ausztrál bölömbika

bölömbika
szerecsentörpegém

kurtafarkú szövőmadár

fehérfejű jakamár



szalagos földiszalakóta




roszdás rövidszárnyúrigó
törpe-rövidszárnyúrigó
hegyi rövidszárnyúrigó



rövidcsőrű törpelumma
márványos törpelumma
hosszúcsőrű törpealka



marikó légykapó

mocsári bozótposzáta

Barratt-bozótposzáta
fátyolfarkú poszáta
szalagos bozótposzáta

fahéjbarna bozótposzáta
gaboni bozótposzáta
Kivu bozótposzáta
Lopez-bozótposzáta
Seebohm-bozótposzáta
fokföldi bozótposzáta

örvös lúd
kanadai lúd
alaszkai lúd
apácalúd
vörösnyakú lúd
hawaii lúd









kanáriszárnyú papagáj
aranyosszárnyú tirika
kékszárnyú tirika

tűzszárnyú papagáj
tuipapagáj
tirikapapagáj
fehérszárnyú tirikapapagáj
tündérasztrild
feketearcú asztrild
fehércsőrű bivalymadár
vöröscsőrű bivalymadár

afrikai uhu
egyiptomi uhu
bengál uhu
uhu
fokföldi uhu
cinóbervörös uhu
Magellán-uhu

hóbagoly
amerikai uhu
trombitás sivatagipinty
mongol sivatagipinty

örvös bukkó
ujjas bukkó
barnasapkás bukkó

fehérfejű kerceréce
kerceréce
izlandi kerceréce
nagy szarvascsőrűmadár
tűzvörös szarvascsőrű
orrszarvú madár
abesszin szarvasvarjú
kaffer szarvasvarjú











szalagos szerecsenhojsza
egyszínű szerecsenhojsza
sárgacsőrű nyűvágó
vöröscsőrű nyűvágó

fokföldi ugartyúk
hosszúlábú ugartyúk

ugartyúk
száhelugartyúk
parti ugartyúk
halászölyv
bogarászó ölyv
maláj ölyv
sáskaölyv
fehérszemű ölyv
fehértorkú ölyv
szalagos ölyv
augur ölyv
szavannaölyv
madagaszkári ölyv
rövidfarkú ölyv
egerészölyv
galápagosi ölyv
mongol ölyv
rőtfarkú ölyv

gatyás ölyv
vörösvállú ölyv
hamvas ölyv
szirti ölyv

szélesszárnyú ölyv

királyölyv
haiti ölyv
pusztai ölyv
látnok ölyv

hawaii ölyv
prériölyv

vörhenyesfarkú ölyv
vöröshasú rákászölyv
kormos rákászölyv
bóbitás remetesas

atlanti erdeiölyv
szavanna rákászölyv
juhász erdeiölyv

fekete rákászölyv


mangrovegém
lávagém
zöld gém

ezüstös orrszarvúmadár
trombitás szarvascsőrű
barnarcú szarvascsőrű

szürkeképű szarvascsőrű





fehérbóbitás kakadu

salamon-szigeteki kakadu
sárgabóbitás kakadu
Goffin-kakadu
vörösfarú kakadu
inkakakadu
Maluku-kakadu
szemüveges kakadu
Pastinator-kakadu
csupaszszemű kakadu
aranyosarcú kakadu
ormányos kakadu
sárgafarkú kacika
hegyi kacika
aranyszárnyú kacika
vörösfarkú kacika
erdei kacika


ecuadori kacika
remetekacika
szubtrópusi kacika









vörhenyeshasú kakukk











pézsmaréce




szürke rigóposzáta


sárgahasú nádiposzáta
prérisármány
indiai szikipacsirta
Blanford-pacsirta
szikipacsirta



sarkantyús sármány
feketebegyű sarkantyússármány
fehérszárnyú sarkantyússármány
fakó bokorpacsirta






szabota pacsirta

cinegevanga
vörösvállú vanga
hegyesfarkú partfutó
fenyérfutó
havasi partfutó
Baird-partfutó
sarki partfutó
sárjáró
sarlós partfutó
Bonaparte-partfutó
töcspartfutó
tengeri partfutó
alaszkai partfutó
vándorpartfutó
apró partfutó
törpepartfutó
bering-tengeri partfutó
pajzsoscankó
kis partfutó

rozsdástorkú partfutó
hosszúujjú partfutó
cankópartfutó
Temminck-partfutó
nagy partfutó


aranysávos mézevő
lomblakó mézevő
aranycsíkos mézevő
Burton-pinty
kokakó






rubinbegy
feketetorkú fülemüle
tűztorkú fülemüle
fehérfarkú rubinbegy

kaliforniai búbosfürj
Douglas-fogasfürj
Gambel-fogasfürj
pikkelyes fogasfürj
ametiszt erdőcsillag








sisakos kakadu
vörösvállú réce














sörényes galamb

mediterrán vészmadár
zöld-foki vészmadár
csíkos vészmadár
rozsdás szemesfogoly


Lucifer-kolibri
gyönyörű kolibri



Anna-kolibri
Costa-kolibri

aranybülbül
azúrricsóka
smaragdricsóka
feketetorkú ricsóka


